bill_depth_mm,body_mass_g,Torgersen,Biscoe,Dream
1.309999999999999964e+01,2.700000000000000000e+03,2.266094971460129726e-01,4.067697959464037227e-01,3.666207069075834157e-01
1.351999999999999957e+01,2.700000000000000000e+03,2.266095070242351850e-01,4.067697788492072308e-01,3.666207141265575564e-01
1.393999999999999950e+01,2.700000000000000000e+03,2.266095168293802697e-01,4.067697618784928415e-01,3.666207212921267500e-01
1.435999999999999943e+01,2.700000000000000000e+03,2.266095265619888499e-01,4.067697450333249698e-01,3.666207284046860693e-01
1.477999999999999936e+01,2.700000000000000000e+03,2.266095362225974685e-01,4.067697283127748586e-01,3.666207354646277006e-01
1.519999999999999929e+01,2.700000000000000000e+03,2.266095458117386996e-01,4.067697117159204678e-01,3.666207424723406660e-01
1.561999999999999922e+01,2.700000000000000000e+03,2.266095553299413423e-01,4.067696952418469736e-01,3.666207494282116564e-01
1.603999999999999915e+01,2.700000000000000000e+03,2.266095647777300603e-01,4.067696788896459914e-01,3.666207563326239205e-01
1.646000000000000085e+01,2.700000000000000000e+03,2.266095741556257703e-01,4.067696626584159647e-01,3.666207631859582650e-01
1.687999999999999901e+01,2.700000000000000000e+03,2.266095834641455031e-01,4.067696465472619982e-01,3.666207699885924431e-01
1.729999999999999716e+01,2.700000000000000000e+03,2.266095927038024593e-01,4.067696305552958025e-01,3.666207767409015994e-01
1.771999999999999886e+01,2.700000000000000000e+03,2.266096018751061481e-01,4.067696146816358604e-01,3.666207834432581025e-01
1.814000000000000057e+01,2.700000000000000000e+03,2.266096109785620261e-01,4.067695989254067057e-01,3.666207900960312127e-01
1.855999999999999872e+01,2.700000000000000000e+03,2.266096200146721917e-01,4.067695832857398108e-01,3.666207966995879697e-01
1.897999999999999687e+01,2.700000000000000000e+03,2.266096289839347744e-01,4.067695677617729211e-01,3.666208032542923601e-01
1.939999999999999858e+01,2.700000000000000000e+03,2.266096378868441841e-01,4.067695523526499990e-01,3.666208097605058169e-01
1.982000000000000028e+01,2.700000000000000000e+03,2.266096467238914169e-01,4.067695370575215574e-01,3.666208162185870534e-01
2.023999999999999844e+01,2.700000000000000000e+03,2.266096554955636388e-01,4.067695218755443265e-01,3.666208226288921179e-01
2.065999999999999659e+01,2.700000000000000000e+03,2.266096642023443519e-01,4.067695068058811980e-01,3.666208289917743390e-01
2.107999999999999829e+01,2.700000000000000000e+03,2.266096728447138109e-01,4.067694918477014476e-01,3.666208353075847692e-01
1.309999999999999964e+01,2.880000000000000000e+03,2.266101567574500542e-01,4.067686542939219496e-01,3.666211889486279962e-01
1.351999999999999957e+01,2.880000000000000000e+03,2.266101617559458936e-01,4.067686456425554375e-01,3.666211926014986688e-01
1.393999999999999950e+01,2.880000000000000000e+03,2.266101667174630352e-01,4.067686370551915065e-01,3.666211962273455138e-01
1.435999999999999943e+01,2.880000000000000000e+03,2.266101716422750101e-01,4.067686285313566463e-01,3.666211998263683158e-01
1.477999999999999936e+01,2.880000000000000000e+03,2.266101765306534899e-01,4.067686200705809552e-01,3.666212033987655272e-01
1.519999999999999929e+01,2.880000000000000000e+03,2.266101813828679257e-01,4.067686116723978618e-01,3.666212069447342681e-01
1.561999999999999922e+01,2.880000000000000000e+03,2.266101861991857425e-01,4.067686033363442921e-01,3.666212104644698266e-01
1.603999999999999915e+01,2.880000000000000000e+03,2.266101909798726999e-01,4.067685950619607249e-01,3.666212139581665475e-01
1.646000000000000085e+01,2.880000000000000000e+03,2.266101957251922538e-01,4.067685868487909140e-01,3.666212174260168877e-01
1.687999999999999901e+01,2.880000000000000000e+03,2.266102004354061117e-01,4.067685786963819439e-01,3.666212208682120832e-01
1.729999999999999716e+01,2.880000000000000000e+03,2.266102051107739268e-01,4.067685706042842297e-01,3.666212242849418712e-01
1.771999999999999886e+01,2.880000000000000000e+03,2.266102097515534930e-01,4.067685625720517950e-01,3.666212276763947120e-01
1.814000000000000057e+01,2.880000000000000000e+03,2.266102143580007444e-01,4.067685545992416607e-01,3.666212310427575671e-01
1.855999999999999872e+01,2.880000000000000000e+03,2.266102189303696446e-01,4.067685466854142895e-01,3.666212343842160659e-01
1.897999999999999687e+01,2.880000000000000000e+03,2.266102234689122419e-01,4.067685388301333083e-01,3.666212377009545054e-01
1.939999999999999858e+01,2.880000000000000000e+03,2.266102279738787528e-01,4.067685310329655080e-01,3.666212409931556282e-01
1.982000000000000028e+01,2.880000000000000000e+03,2.266102324455177286e-01,4.067685232934811768e-01,3.666212442610011224e-01
2.023999999999999844e+01,2.880000000000000000e+03,2.266102368840755554e-01,4.067685156112533784e-01,3.666212475046710662e-01
2.065999999999999659e+01,2.880000000000000000e+03,2.266102412897970930e-01,4.067685079858586739e-01,3.666212507243442609e-01
2.107999999999999829e+01,2.880000000000000000e+03,2.266102456629251471e-01,4.067685004168765106e-01,3.666212539201982867e-01
1.309999999999999964e+01,3.060000000000000000e+03,2.266104905267852243e-01,4.067680766082055754e-01,3.666214328650092003e-01
1.351999999999999957e+01,3.060000000000000000e+03,2.266104930560555730e-01,4.067680722305633267e-01,3.666214347133809892e-01
1.393999999999999950e+01,3.060000000000000000e+03,2.266104955666143339e-01,4.067680678853071718e-01,3.666214365480785498e-01
1.435999999999999943e+01,3.060000000000000000e+03,2.266104980585997852e-01,4.067680635721974136e-01,3.666214383692028567e-01
1.477999999999999936e+01,3.060000000000000000e+03,2.266105005321494559e-01,4.067680592909961867e-01,3.666214401768543851e-01
1.519999999999999929e+01,3.060000000000000000e+03,2.266105029873997367e-01,4.067680550414674578e-01,3.666214419711327221e-01
1.561999999999999922e+01,3.060000000000000000e+03,2.266105054244859363e-01,4.067680508233770809e-01,3.666214437521369551e-01
1.603999999999999915e+01,3.060000000000000000e+03,2.266105078435424747e-01,4.067680466364922975e-01,3.666214455199652833e-01
1.646000000000000085e+01,3.060000000000000000e+03,2.266105102447027453e-01,4.067680424805822370e-01,3.666214472747150177e-01
1.687999999999999901e+01,3.060000000000000000e+03,2.266105126280991422e-01,4.067680383554178603e-01,3.666214490164830253e-01
1.729999999999999716e+01,3.060000000000000000e+03,2.266105149938629770e-01,4.067680342607716826e-01,3.666214507453653959e-01
