bill_depth_mm,flipper_length_mm,Torgersen,Biscoe,Dream
1.309999999999999964e+01,1.720000000000000000e+02,5.631867365556106342e-02,8.200806482273451659e-01,1.236006781170937152e-01
1.351999999999999957e+01,1.720000000000000000e+02,8.075751879386522392e-02,7.316519648357343586e-01,1.875905163704005285e-01
1.393999999999999950e+01,1.720000000000000000e+02,1.088409459412345709e-01,6.240813359395430693e-01,2.670777181192223182e-01
1.435999999999999943e+01,1.720000000000000000e+02,1.357377578862632994e-01,5.142981243137476621e-01,3.499641177999889829e-01
1.477999999999999936e+01,1.720000000000000000e+02,1.576143363890298299e-01,4.185734992749729488e-01,4.238121643359971658e-01
1.519999999999999929e+01,1.720000000000000000e+02,1.734358941898624107e-01,3.440351718720358054e-01,4.825289339381017006e-01
1.561999999999999922e+01,1.720000000000000000e+02,1.841333900619124553e-01,2.897045839843908621e-01,5.261620259536967659e-01
1.603999999999999915e+01,1.720000000000000000e+02,1.911658078850825837e-01,2.512993727498088470e-01,5.575348193651086248e-01
1.646000000000000085e+01,1.720000000000000000e+02,1.957742742560357463e-01,2.244020747028301066e-01,5.798236510411342026e-01
1.687999999999999901e+01,1.720000000000000000e+02,1.988256030042255262e-01,2.055331859953472839e-01,5.956412110004272176e-01
1.729999999999999716e+01,1.720000000000000000e+02,2.008789077498518982e-01,1.922127335175528584e-01,6.069083587325952989e-01
1.771999999999999886e+01,1.720000000000000000e+02,2.022851433407653332e-01,1.827369692067714324e-01,6.149778874524632899e-01
1.814000000000000057e+01,1.720000000000000000e+02,2.032643828396608898e-01,1.759455689394928968e-01,6.207900482208462689e-01
1.855999999999999872e+01,1.720000000000000000e+02,2.039563431861046716e-01,1.710452419884788411e-01,6.249984148254164040e-01
1.897999999999999687e+01,1.720000000000000000e+02,2.044513931988657940e-01,1.674887636534774515e-01,6.280598431476567267e-01
1.939999999999999858e+01,1.720000000000000000e+02,2.048092066202012174e-01,1.648947343017355405e-01,6.302960590780631867e-01
1.982000000000000028e+01,1.720000000000000000e+02,2.050699972557907258e-01,1.629946616987068553e-01,6.319353410455024189e-01
2.023999999999999844e+01,1.720000000000000000e+02,2.052613729075054849e-01,1.615978355622816609e-01,6.331407915302128542e-01
2.065999999999999659e+01,1.720000000000000000e+02,2.054025965547950916e-01,1.605677401779574409e-01,6.340296632672475230e-01
2.107999999999999829e+01,1.720000000000000000e+02,2.055072941463609026e-01,1.598060068677273071e-01,6.346866989859119013e-01
1.309999999999999964e+01,1.749499999999999886e+02,4.515689990898826001e-02,8.587485303135085069e-01,9.609456977750337192e-02
1.351999999999999957e+01,1.749499999999999886e+02,6.609153916664947670e-02,7.851508882397325584e-01,1.487575725936179649e-01
1.393999999999999950e+01,1.749499999999999886e+02,9.259632147736232555e-02,6.868920870309527249e-01,2.205115914916850606e-01
1.435999999999999943e+01,1.749499999999999886e+02,1.207708129774183320e-01,5.760168768605409273e-01,3.032123101620406991e-01
1.477999999999999936e+01,1.749499999999999886e+02,1.458179054370513095e-01,4.707153908863677683e-01,3.834667036765808112e-01
1.519999999999999929e+01,1.749499999999999886e+02,1.650675840487925705e-01,3.837931813225634592e-01,4.511392346286439148e-01
1.561999999999999922e+01,1.749499999999999886e+02,1.785189997074934087e-01,3.183571259903366091e-01,5.031238743021699822e-01
1.603999999999999915e+01,1.749499999999999886e+02,1.874728946779667393e-01,2.714556144673080929e-01,5.410714908547251678e-01
1.646000000000000085e+01,1.749499999999999886e+02,1.933408341444102785e-01,2.385013821894052533e-01,5.681577836661844128e-01
1.687999999999999901e+01,1.749499999999999886e+02,1.972015450134178560e-01,2.154288740930935808e-01,5.873695808934885632e-01
1.729999999999999716e+01,1.749499999999999886e+02,1.997765296082102682e-01,1.992065207183784381e-01,6.010169496734113492e-01
1.771999999999999886e+01,1.749499999999999886e+02,2.015238003709540204e-01,1.877184889652094846e-01,6.107577106638364395e-01
1.814000000000000057e+01,1.749499999999999886e+02,2.027301744530493055e-01,1.795201663594882535e-01,6.177496591874624965e-01
1.855999999999999872e+01,1.749499999999999886e+02,2.035763561070728367e-01,1.736271954058490052e-01,6.227964484870780471e-01
1.897999999999999687e+01,1.749499999999999886e+02,2.041780154139736791e-01,1.693643295709988117e-01,6.264576550150274814e-01
1.939999999999999858e+01,1.749499999999999886e+02,2.046106906175926277e-01,1.662637808205682244e-01,6.291255285618391202e-01
1.982000000000000028e+01,1.749499999999999886e+02,2.049247495811266362e-01,1.639981191564076901e-01,6.310771312624657847e-01
2.023999999999999844e+01,1.749499999999999886e+02,2.051544442579997518e-01,1.623359475690484555e-01,6.325096081729518760e-01
2.065999999999999659e+01,1.749499999999999886e+02,2.053234793563226690e-01,1.611123479685597493e-01,6.335641726751176650e-01
2.107999999999999829e+01,1.749499999999999886e+02,2.054485088352606126e-01,1.602089269195438037e-01,6.343425642451956392e-01
1.309999999999999964e+01,1.778999999999999773e+02,3.615621272456611551e-02,8.891393991314628931e-01,7.470438814397097060e-02
1.351999999999999957e+01,1.778999999999999773e+02,5.331442795218667430e-02,8.303989781094069933e-01,1.162865939384063046e-01
1.393999999999999950e+01,1.778999999999999773e+02,7.692611227097316540e-02,7.454910994546117831e-01,1.775827882744150099e-01
1.435999999999999943e+01,1.778999999999999773e+02,1.047472734091581675e-01,6.396966184317082194e-01,2.555561081591337658e-01
1.477999999999999936e+01,1.778999999999999773e+02,1.320845321927440197e-01,5.290506722186298916e-01,3.388647955886261443e-01
1.519999999999999929e+01,1.778999999999999773e+02,1.547883348092203570e-01,4.306547937842596374e-01,4.145568714065199778e-01
1.561999999999999922e+01,1.778999999999999773e+02,1.714358690269906227e-01,3.530575430592490793e-01,4.755065879137602702e-01
1.603999999999999915e+01,1.778999999999999773e+02,1.827754848202343685e-01,2.961262043442750569e-01,5.210983108354906301e-01
1.646000000000000085e+01,1.778999999999999773e+02,1.902528821850004159e-01,2.557844300637386326e-01,5.539626877512610070e-01
