bill_length_mm,bill_depth_mm,Torgersen,Biscoe,Dream
3.210000000000000142e+01,1.309999999999999964e+01,1.237479205910471808e-01,3.077443733836887629e-01,5.685077060252640146e-01
3.347500000000000142e+01,1.309999999999999964e+01,9.592777261167433067e-02,3.551985548516471969e-01,5.488736725366784031e-01
3.485000000000000142e+01,1.309999999999999964e+01,7.210024657564628736e-02,4.297630822193650446e-01,4.981366712049885015e-01
3.622500000000000142e+01,1.309999999999999964e+01,5.147981291871649157e-02,5.351302345159559826e-01,4.133899525653276230e-01
3.760000000000000142e+01,1.309999999999999964e+01,3.403300156480050520e-02,6.599343122684114826e-01,3.060326861667879705e-01
3.897500000000000142e+01,1.309999999999999964e+01,2.074665982574841125e-02,7.768664988276795524e-01,2.023868413465720051e-01
4.035000000000000142e+01,1.309999999999999964e+01,1.209167149961041555e-02,8.630759860222395607e-01,1.248323424781499769e-01
4.172500000000000142e+01,1.309999999999999964e+01,7.150256226937629946e-03,9.161274603095084235e-01,7.672228346355373929e-02
4.310000000000000142e+01,1.309999999999999964e+01,4.506929127106137911e-03,9.458485888824690324e-01,4.964448199042482274e-02
4.447500000000000142e+01,1.309999999999999964e+01,3.098853357144286304e-03,9.621384483549562106e-01,3.476269828789953220e-02
4.585000000000000142e+01,1.309999999999999964e+01,2.325286706703591673e-03,9.712415220815892036e-01,2.643319121170721944e-02
4.722500000000000142e+01,1.309999999999999964e+01,1.881535511607739398e-03,9.765114898221856077e-01,2.160697466620665683e-02
4.860000000000000142e+01,1.309999999999999964e+01,1.615912965480059129e-03,9.796764860263132979e-01,1.870760100820652652e-02
4.997500000000000142e+01,1.309999999999999964e+01,1.450995629057689898e-03,9.816387958454410034e-01,1.691020852550123924e-02
5.135000000000000142e+01,1.309999999999999964e+01,1.345537517590747771e-03,9.828867526802231858e-01,1.576770980218609314e-02
5.272500000000000142e+01,1.309999999999999964e+01,1.276515166481858666e-03,9.836960461127545186e-01,1.502743872076361085e-02
5.410000000000000142e+01,1.309999999999999964e+01,1.230504570292613150e-03,9.842286923987901837e-01,1.454080303091729968e-02
5.547500000000000142e+01,1.309999999999999964e+01,1.199379901323255381e-03,9.845832404961321060e-01,1.421737960254440027e-02
5.685000000000000142e+01,1.309999999999999964e+01,1.178068881131036621e-03,9.848213236331849751e-01,1.400060748568403637e-02
5.822500000000000142e+01,1.309999999999999964e+01,1.163326476167822520e-03,9.849823305323385236e-01,1.385434299149355432e-02
3.210000000000000142e+01,1.351999999999999957e+01,1.479191763649627400e-01,2.781730514679885968e-01,5.739077721670488019e-01
3.347500000000000142e+01,1.351999999999999957e+01,1.174021469318836663e-01,3.078584874490478684e-01,5.747393656190684652e-01
3.485000000000000142e+01,1.351999999999999957e+01,9.111582941811925684e-02,3.570600433673995489e-01,5.518241272144811527e-01
3.622500000000000142e+01,1.351999999999999957e+01,6.862024427320424780e-02,4.343326042914839591e-01,4.970471514353116960e-01
3.760000000000000142e+01,1.351999999999999957e+01,4.900757389513995393e-02,5.424978897640041486e-01,4.084945363408559182e-01
3.897500000000000142e+01,1.351999999999999957e+01,3.233489890862132482e-02,6.685152763329625936e-01,2.991498247584159498e-01
4.035000000000000142e+01,1.351999999999999957e+01,1.967871076248373444e-02,7.842271289899845899e-01,1.960941602475317069e-01
4.172500000000000142e+01,1.351999999999999957e+01,1.148908691035908231e-02,8.680148347599874192e-01,1.204960783296535193e-01
4.310000000000000142e+01,1.351999999999999957e+01,6.832866537641465142e-03,9.189881791479792561e-01,7.417895431437927789e-02
4.447500000000000142e+01,1.351999999999999957e+01,4.341649364343420393e-03,9.474148179114679769e-01,4.824353272418846483e-02
4.585000000000000142e+01,1.351999999999999957e+01,3.010265342671105283e-03,9.629969273377765315e-01,3.399280731955230811e-02
4.722500000000000142e+01,1.351999999999999957e+01,2.275552488947474219e-03,9.717252063524955963e-01,2.599924115855691692e-02
4.860000000000000142e+01,1.351999999999999957e+01,1.852224300594528840e-03,9.767935528868166850e-01,2.135422281258868293e-02
4.997500000000000142e+01,1.351999999999999957e+01,1.597867588026943104e-03,9.798463114276890762e-01,1.855582098428392931e-02
5.135000000000000142e+01,1.351999999999999957e+01,1.439471643537406417e-03,9.817437628076001177e-01,1.681676554886252575e-02
5.272500000000000142e+01,1.351999999999999957e+01,1.337954465325588314e-03,9.829529622206042427e-01,1.570908331407023378e-02
5.410000000000000142e+01,1.351999999999999957e+01,1.271401858937594789e-03,9.837384524756810356e-01,1.499014566538136792e-02
5.547500000000000142e+01,1.351999999999999957e+01,1.226986265282461368e-03,9.842561660146565972e-01,1.451684772006092347e-02
5.685000000000000142e+01,1.351999999999999957e+01,1.196917541546446608e-03,9.846011946464910958e-01,1.420188781196236004e-02
5.822500000000000142e+01,1.351999999999999957e+01,1.176320206868106859e-03,9.848331358733239949e-01,1.399054391980807457e-02
3.210000000000000142e+01,1.393999999999999950e+01,1.731881113619190005e-01,2.593088427338696156e-01,5.675030459042114117e-01
