bill_length_mm,flipper_length_mm,Torgersen,Biscoe,Dream
3.210000000000000142e+01,1.720000000000000000e+02,1.832669631502563401e-01,5.671294023463102629e-01,2.496036345034334525e-01
3.347500000000000142e+01,1.720000000000000000e+02,1.716662337750731182e-01,5.748604653636387729e-01,2.534733008612881089e-01
3.485000000000000142e+01,1.720000000000000000e+02,1.583849719941129996e-01,5.776904515717367072e-01,2.639245764341502931e-01
3.622500000000000142e+01,1.720000000000000000e+02,1.431128837022525302e-01,5.708632628397131148e-01,2.860238534580343828e-01
3.760000000000000142e+01,1.720000000000000000e+02,1.253624779028366942e-01,5.463000579777906873e-01,3.283374641193725907e-01
3.897500000000000142e+01,1.720000000000000000e+02,1.044236802124411390e-01,4.919704396291316728e-01,4.036058801584272437e-01
4.035000000000000142e+01,1.720000000000000000e+02,7.988392513922948357e-02,3.983365190574316150e-01,5.217795558033389014e-01
4.172500000000000142e+01,1.720000000000000000e+02,5.406752829515078240e-02,2.794479253559647991e-01,6.664845463488844324e-01
4.310000000000000142e+01,1.720000000000000000e+02,3.295878560696008375e-02,1.763755938239900400e-01,7.906656205690498762e-01
4.447500000000000142e+01,1.720000000000000000e+02,1.981604109518929693e-02,1.117642560950175279e-01,8.684197028097933035e-01
4.585000000000000142e+01,1.720000000000000000e+02,1.279753637893106706e-02,7.721907627550703146e-02,9.099833873455618338e-01
4.722500000000000142e+01,1.720000000000000000e+02,9.170486168107044173e-03,5.923615805410237939e-02,9.315933557777905660e-01
4.860000000000000142e+01,1.720000000000000000e+02,7.248341841752556705e-03,4.963613935501939162e-02,9.431155188032279701e-01
4.997500000000000142e+01,1.720000000000000000e+02,6.189176058994981869e-03,4.435050773503956129e-02,9.494603162059656043e-01
5.135000000000000142e+01,1.720000000000000000e+02,5.584692481134887615e-03,4.137566699214485777e-02,9.530396405267202997e-01
5.272500000000000142e+01,1.720000000000000000e+02,5.230285759625247569e-03,3.968257616866931181e-02,9.550871380717054215e-01
5.410000000000000142e+01,1.720000000000000000e+02,5.018400373169619455e-03,3.871752356079907059e-02,9.562640760660312544e-01
