petal length (cm),petal width (cm),setosa,versicolor,virginica
1.000000000000000000e+00,1.000000000000000056e-01,8.852740075474667680e-01,6.968759508854359408e-02,4.503839736398956156e-02
1.294999999999999929e+00,1.000000000000000056e-01,8.637954680673657348e-01,8.303031835126448157e-02,5.317421358136975584e-02
1.589999999999999858e+00,1.000000000000000056e-01,8.376212134752517580e-01,9.944907936207265930e-02,6.292970716267559661e-02
1.884999999999999787e+00,1.000000000000000056e-01,8.062884634063688383e-01,1.192880617808822208e-01,7.442347481274892707e-02
2.179999999999999716e+00,1.000000000000000056e-01,7.696844700555196539e-01,1.426625423552334571e-01,8.765298758924688904e-02
2.474999999999999645e+00,1.000000000000000056e-01,7.281989939065329764e-01,1.693440217514693424e-01,1.024569843419976256e-01
2.769999999999999574e+00,1.000000000000000056e-01,6.827870456597305848e-01,1.987016500668313534e-01,1.185113042734380340e-01
3.064999999999999503e+00,1.000000000000000056e-01,6.348849119915854766e-01,2.297449412567014737e-01,1.353701467517131329e-01
3.359999999999999432e+00,1.000000000000000056e-01,5.861838010066332538e-01,2.612724254155789905e-01,1.525437735777878667e-01
3.654999999999999361e+00,1.000000000000000056e-01,5.383379025110417437e-01,2.920778159058621259e-01,1.695842815830960748e-01
3.949999999999999289e+00,1.000000000000000056e-01,4.927133716618078974e-01,3.211383088326736912e-01,1.861483195055184114e-01
4.244999999999999218e+00,1.000000000000000056e-01,4.502517684386230790e-01,3.477274316519688435e-01,2.020207999094080498e-01
4.539999999999999147e+00,1.000000000000000056e-01,4.114577398469275171e-01,3.714386032668827720e-01,2.171036568861896554e-01
4.834999999999999076e+00,1.000000000000000056e-01,3.764725355213728863e-01,3.921422309992170785e-01,2.313852334794101184e-01
5.129999999999999005e+00,1.000000000000000056e-01,3.451820745114546618e-01,4.099119034742887413e-01,2.449060220142565136e-01
5.424999999999998934e+00,1.000000000000000056e-01,3.173209430429504985e-01,4.249486632038624867e-01,2.577303937531869593e-01
5.719999999999998863e+00,1.000000000000000056e-01,2.925534314315178519e-01,4.375190374883459743e-01,2.699275310801362848e-01
6.014999999999998792e+00,1.000000000000000056e-01,2.705278835921288150e-01,4.479113402845126268e-01,2.815607761233585027e-01
6.309999999999998721e+00,1.000000000000000056e-01,2.509084650158203700e-01,4.564084554369945423e-01,2.926830795471850877e-01
6.604999999999998650e+00,1.000000000000000056e-01,2.333907888291678057e-01,4.632730146049708342e-01,3.033361965658613046e-01
1.000000000000000000e+00,2.200000000000000011e-01,8.590181597209425313e-01,8.431364320408281376e-02,5.666819707497460640e-02
1.294999999999999929e+00,2.200000000000000011e-01,8.327242922064338471e-01,1.004407950061808191e-01,6.683491278738536157e-02
1.589999999999999858e+00,2.200000000000000011e-01,8.012021905629320706e-01,1.199706768746948288e-01,7.882713256237319777e-02
1.884999999999999787e+00,2.200000000000000011e-01,7.642519655829843606e-01,1.430832787742926659e-01,9.266475564272289023e-02
2.179999999999999716e+00,2.200000000000000011e-01,7.221709213717936171e-01,1.696299961958919189e-01,1.081990824323144779e-01
2.474999999999999645e+00,2.200000000000000011e-01,6.758514447595015406e-01,1.990510402866551287e-01,1.250975149538432751e-01
2.769999999999999574e+00,2.200000000000000011e-01,6.267323024023584432e-01,2.303893149487331038e-01,1.428783826489085362e-01
3.064999999999999503e+00,2.200000000000000011e-01,5.765860513272419441e-01,2.624212862170161586e-01,1.609926624557419528e-01
3.359999999999999432e+00,2.200000000000000011e-01,5.272080027928021106e-01,2.938679156163802042e-01,1.789240815908176574e-01
3.654999999999999361e+00,2.200000000000000011e-01,4.801229685715305284e-01,3.236074903755351562e-01,1.962695410529344264e-01
3.949999999999999289e+00,2.200000000000000011e-01,4.364061299328154120e-01,3.508184533495048996e-01,2.127754167176796607e-01
4.244999999999999218e+00,2.200000000000000011e-01,3.966459101715751334e-01,3.750243808780421850e-01,2.283297089503827648e-01
4.539999999999999147e+00,2.200000000000000011e-01,3.610141798101798027e-01,3.960586249249332114e-01,2.429271952648870414e-01
4.834999999999999076e+00,2.200000000000000011e-01,3.293854101135315071e-01,4.139870252345713153e-01,2.566275646518971776e-01
5.129999999999999005e+00,2.200000000000000011e-01,3.014566468116748887e-01,4.290235088100193273e-01,2.695198443783059505e-01
5.424999999999998934e+00,2.200000000000000011e-01,2.768428923525038110e-01,4.414589917052078594e-01,2.816981159422884406e-01
5.719999999999998863e+00,2.200000000000000011e-01,2.551415654717164028e-01,4.516104862551957311e-01,2.932479482730878106e-01
6.014999999999998792e+00,2.200000000000000011e-01,2.359701296556137029e-01,4.597891805879523175e-01,3.042406897564339241e-01
6.309999999999998721e+00,2.200000000000000011e-01,2.189843827550948807e-01,4.662830355954437067e-01,3.147325816494613293e-01
6.604999999999998650e+00,2.200000000000000011e-01,2.038845101645080371e-01,4.713491397528585258e-01,3.247663500826333816e-01
1.000000000000000000e+00,3.399999999999999689e-01,8.269419436649386723e-01,1.018246773870016969e-01,7.123337894805963078e-02
1.294999999999999929e+00,3.399999999999999689e-01,7.952791709363886685e-01,1.209941313333954827e-01,8.372669773021583495e-02
1.589999999999999858e+00,3.399999999999999689e-01,7.580920177254190095e-01,1.437460618548861424e-01,9.816192041969476478e-02
1.884999999999999787e+00,3.399999999999999689e-01,7.155861834225878404e-01,1.700080927995538949e-01,1.144057237778582509e-01
2.179999999999999716e+00,3.399999999999999689e-01,6.685766470220207980e-01,1.993002626279240519e-01,1.321230903500550669e-01
2.474999999999999645e+00,3.399999999999999689e-01,6.184767455460613572e-01,2.307200556311144735e-01,1.508031988228240861e-01
2.769999999999999574e+00,3.399999999999999689e-01,5.671092512095675664e-01,2.630490142581333179e-01,1.698417345322990324e-01
3.064999999999999503e+00,3.399999999999999689e-01,5.163875995110993600e-01,2.949589808932713830e-01,1.886534195956292848e-01
3.359999999999999432e+00,3.399999999999999689e-01,4.679861050745401374e-01,3.252427890918534459e-01,2.067711058336063890e-01
3.654999999999999361e+00,3.399999999999999689e-01,4.231163613372250221e-01,3.529861669698742821e-01,2.238974716929006126e-01
3.949999999999999289e+00,3.399999999999999689e-01,3.824593805341888753e-01,3.776375298853950624e-01,2.399030895804160346e-01
4.244999999999999218e+00,3.399999999999999689e-01,3.462270980550909427e-01,3.989845832661925162e-01,2.547883186787166521e-01
4.539999999999999147e+00,3.399999999999999689e-01,3.142898467608274404e-01,4.170767604270539386e-01,2.686333928121186210e-01
4.834999999999999076e+00,3.399999999999999689e-01,2.863118309202158929e-01,4.321336709531319320e-01,2.815544981266521196e-01
5.129999999999999005e+00,3.399999999999999689e-01,2.618614900698491565e-01,4.444652040178497243e-01,2.936733059123010081e-01
5.424999999999998934e+00,3.399999999999999689e-01,2.404869003663432092e-01,4.544132087805584641e-01,3.050998908530983544e-01
5.719999999999998863e+00,3.399999999999999689e-01,2.217598842497471856e-01,4.623144882366528874e-01,3.159256275135998715e-01
