sepal length (cm),petal length (cm),setosa,versicolor,virginica
4.299999999999999822e+00,1.000000000000000000e+00,9.400933421711477056e-01,4.975192014901180099e-02,1.015473767984049862e-02
4.479999999999999538e+00,1.000000000000000000e+00,9.451719476702139522e-01,4.571868427804703927e-02,9.109368051738862826e-03
4.659999999999999254e+00,1.000000000000000000e+00,9.495205927941681168e-01,4.224867294030287823e-02,8.230734265529155921e-03
4.839999999999998970e+00,1.000000000000000000e+00,9.532559330176418877e-01,3.925524077574202297e-02,7.488826206616036422e-03
5.019999999999998685e+00,1.000000000000000000e+00,9.564751768246056995e-01,3.666540432638391162e-02,6.859418849010388841e-03
5.199999999999998401e+00,1.000000000000000000e+00,9.592591910205219286e-01,3.441787295182438533e-02,6.322936027653516117e-03
5.379999999999998117e+00,1.000000000000000000e+00,9.616752178718673827e-01,3.246125478879885451e-02,5.863527339333794025e-03
5.559999999999997833e+00,1.000000000000000000e+00,9.637792000899748635e-01,3.075247480982208279e-02,5.468325100203038150e-03
5.739999999999997549e+00,1.000000000000000000e+00,9.656177396598011331e-01,2.925541043324171239e-02,5.126849906957102465e-03
5.919999999999997264e+00,1.000000000000000000e+00,9.672297304597845535e-01,2.793973265123577202e-02,4.830536888979886957e-03
6.099999999999996980e+00,1.000000000000000000e+00,9.686477089396814399e-01,2.677993215580517714e-02,4.572358904513402003e-03
6.279999999999996696e+00,1.000000000000000000e+00,9.698989660550593195e-01,2.575450691766234187e-02,4.346527027278394156e-03
6.459999999999996412e+00,1.000000000000000000e+00,9.710064598736498631e-01,2.484528776830476418e-02,4.148252358045375308e-03
6.639999999999996128e+00,1.000000000000000000e+00,9.719895633810989866e-01,2.403688026284322293e-02,3.973556356057791374e-03
6.819999999999995843e+00,1.000000000000000000e+00,9.728646769400931538e-01,2.331620355114521689e-02,3.819119508761850950e-03
6.999999999999995559e+00,1.000000000000000000e+00,9.736457300812214610e-01,2.267210962809658101e-02,3.682160290681904622e-03
7.179999999999995275e+00,1.000000000000000000e+00,9.743445930477795391e-01,2.209506888149116374e-02,3.560338070729150099e-03
7.359999999999994991e+00,1.000000000000000000e+00,9.749714148503983990e-01,2.157691016692827798e-02,3.451674982673427500e-03
7.539999999999994706e+00,1.000000000000000000e+00,9.755349014994000312e-01,2.111060565877321063e-02,3.354492841826913450e-03
7.719999999999994422e+00,1.000000000000000000e+00,9.760425455215009372e-01,2.069009244905066144e-02,3.267362029448447804e-03
4.299999999999999822e+00,1.294999999999999929e+00,9.063253883465348659e-01,7.662136225797340494e-02,1.705324939549171873e-02
4.479999999999999538e+00,1.294999999999999929e+00,9.163692591118209885e-01,6.877089271981552676e-02,1.485984816836360099e-02
4.659999999999999254e+00,1.294999999999999929e+00,9.249018918954606816e-01,6.205592624543385116e-02,1.304218185910559040e-02
4.839999999999998970e+00,1.294999999999999929e+00,9.321584884895236511e-01,5.631012909324679960e-02,1.153138241722949722e-02
5.019999999999998685e+00,1.294999999999999929e+00,9.383411128875102092e-01,5.138776809400499163e-02,1.027111901848480266e-02
5.199999999999998401e+00,1.294999999999999929e+00,9.436213160050326287e-01,4.716309826790625326e-02,9.215585727061050350e-03
5.379999999999998117e+00,1.294999999999999929e+00,9.481435276425160819e-01,4.352880345800714396e-02,8.327668899476852252e-03
5.559999999999997833e+00,1.294999999999999929e+00,9.520286530788797386e-01,4.039399593757614371e-02,7.577350983543950334e-03
5.739999999999997549e+00,1.294999999999999929e+00,9.553775407666919017e-01,3.768209790718175800e-02,6.940361326126294299e-03
5.919999999999997264e+00,1.294999999999999929e+00,9.582741452669382154e-01,3.532879549705156969e-02,6.397059236010180228e-03
6.099999999999996980e+00,1.294999999999999929e+00,9.607883112656958602e-01,3.328016608117260328e-02,5.931522653131606794e-03
6.279999999999996696e+00,1.294999999999999929e+00,9.629781658649692044e-01,3.149102212286297026e-02,5.530812012167976230e-03
6.459999999999996412e+00,1.294999999999999929e+00,9.648921403607176872e-01,2.992348001428757343e-02,5.184379624994761918e-03
6.639999999999996128e+00,1.294999999999999929e+00,9.665706592131174668e-01,2.854574294952107183e-02,4.883597837361471766e-03
6.819999999999995843e+00,1.294999999999999929e+00,9.680475397615446731e-01,2.733107726925898193e-02,4.621382969196286862e-03
6.999999999999995559e+00,1.294999999999999929e+00,9.693511460276116321e-01,2.625695810463243157e-02,4.391895867755840101e-03
7.179999999999995275e+00,1.294999999999999929e+00,9.705053366050224728e-01,2.530435998339041967e-02,4.190303411587040748e-03
7.359999999999994991e+00,1.294999999999999929e+00,9.715302419325113625e-01,2.445716972000678766e-02,4.012588347481933077e-03
7.539999999999994706e+00,1.294999999999999929e+00,9.724429012119084614e-01,2.370170139638369533e-02,3.855397391708062244e-03
7.719999999999994422e+00,1.294999999999999929e+00,9.732577844189058691e-01,2.302629596907344173e-02,3.715919612020630609e-03
4.299999999999999822e+00,1.589999999999999858e+00,8.398320436274241407e-01,1.284106725444334740e-01,3.175728382814250322e-02
4.479999999999999538e+00,1.589999999999999858e+00,8.595506277198370348e-01,1.133928200373101186e-01,2.705655224285282920e-02
4.659999999999999254e+00,1.589999999999999858e+00,8.764527921400032673e-01,1.003884250999180494e-01,2.315878276007873882e-02
4.839999999999998970e+00,1.589999999999999858e+00,8.908778154118419668e-01,8.918956509962917834e-02,1.993261948852894511e-02
5.019999999999998685e+00,1.589999999999999858e+00,9.031558839580232645e-01,7.958095581326649071e-02,1.726316022871013378e-02
5.199999999999998401e+00,1.589999999999999858e+00,9.135936336935778224e-01,7.135413372966704915e-02,1.505223257675497237e-02
5.379999999999998117e+00,1.589999999999999858e+00,9.224665572184496121e-01,6.431601522444269081e-02,1.321742755710776304e-02
5.559999999999997833e+00,1.589999999999999858e+00,9.300163096509638239e-01,5.829322441788595960e-02,1.169046593115016103e-02
5.739999999999997549e+00,1.589999999999999858e+00,9.364511985353589640e-01,5.313349807489496646e-02,1.041530338974612675e-02
5.919999999999997264e+00,1.589999999999999858e+00,9.419485306529256086e-01,4.870523677396897122e-02,9.346232573105539912e-03
6.099999999999996980e+00,1.589999999999999858e+00,9.466578753349778053e-01,4.489599762084387630e-02,8.446127044178517937e-03
6.279999999999996696e+00,1.589999999999999858e+00,9.507046277132382706e-01,4.161047741461342681e-02,7.684894872148291360e-03
6.459999999999996412e+00,1.589999999999999858e+00,9.541934993246512509e-01,3.876833981038734639e-02,7.038160864961499029e-03
6.639999999999996128e+00,1.589999999999999858e+00,9.572117336934470311e-01,3.630209749486815185e-02,6.486168811684765029e-03
6.819999999999995843e+00,1.589999999999999858e+00,9.598319557354728637e-01,3.415516290644068920e-02,6.012881358086408050e-03
6.999999999999995559e+00,1.589999999999999858e+00,9.621146319194522345e-01,3.228011807631551294e-02,5.605250004232155414e-03
7.179999999999995275e+00,1.589999999999999858e+00,9.641101566624601382e-01,3.063721586387607373e-02,5.252627473663780237e-03
7.359999999999994991e+00,1.589999999999999858e+00,9.658605998219781386e-01,2.919310321582018961e-02,4.946296962201700460e-03
7.539999999999994706e+00,1.589999999999999858e+00,9.674011577582641852e-01,2.791974616567628742e-02,4.679096076059498753e-03
7.719999999999994422e+00,1.589999999999999858e+00,9.687613512471359156e-01,2.679353196279716035e-02,4.445116790067049801e-03
4.299999999999999822e+00,1.884999999999999787e+00,7.184130723428863163e-01,2.198835013168770613e-01,6.170342634023649048e-02
4.479999999999999538e+00,1.884999999999999787e+00,7.527413281766344166e-01,1.948584731835063533e-01,5.240019863985917459e-02
4.659999999999999254e+00,1.884999999999999787e+00,7.834292353713907531e-01,1.721181159904498492e-01,4.445264863815937689e-02
4.839999999999998970e+00,1.884999999999999787e+00,8.104930987892861038e-01,1.517772712700496962e-01,3.772962994066417913e-02
5.019999999999998685e+00,1.884999999999999787e+00,8.340957064096117257e-01,1.338177508215437073e-01,3.208654276884448375e-02
5.199999999999998401e+00,1.884999999999999787e+00,8.544985623339742542e-01,1.181243485170037494e-01,2.737708914902205540e-02
5.379999999999998117e+00,1.884999999999999787e+00,8.720183937537331342e-01,1.045197306313953578e-01,2.346187561487154266e-02
5.559999999999997833e+00,1.884999999999999787e+00,8.869922325555903431e-01,9.279395266467878323e-02,2.021381477973083901e-02
5.739999999999997549e+00,1.884999999999999787e+00,8.997522930101795602e-01,8.272689355847714920e-02,1.752081343134321775e-02
5.919999999999997264e+00,1.884999999999999787e+00,9.106098599337804078e-01,7.410369112010138648e-02,1.528644894611812591e-02
6.099999999999996980e+00,1.884999999999999787e+00,9.198464322533742576e-01,6.672423996628475129e-02,1.342932778034081759e-02
6.279999999999996696e+00,1.884999999999999787e+00,9.277101441952366745e-01,6.040815803458345068e-02,1.188169777017984534e-02
6.459999999999996412e+00,1.884999999999999787e+00,9.344156863644544897e-01,5.499658341463645184e-02,1.058773022090901857e-02
6.639999999999996128e+00,1.884999999999999787e+00,9.401463218736587635e-01,5.035193413735897933e-02,9.501743988982059436e-03
6.819999999999995843e+00,1.884999999999999787e+00,9.450569852395626080e-01,4.635648402357187003e-02,8.586530736865542746e-03
6.999999999999995559e+00,1.884999999999999787e+00,9.492777895527612086e-01,4.291034959104129271e-02,7.811860856197584517e-03
7.179999999999995275e+00,1.884999999999999787e+00,9.529175265971766562e-01,3.992927517128826848e-02,7.153198231535083142e-03
7.359999999999994991e+00,1.884999999999999787e+00,9.560669280316300700e-01,3.734245010892695699e-02,6.590621859443010315e-03
7.539999999999994706e+00,1.884999999999999787e+00,9.588015772362944444e-01,3.509048616308167029e-02,6.107936600623884403e-03
7.719999999999994422e+00,1.884999999999999787e+00,9.611844369111406383e-01,3.312361437878991177e-02,5.691948710069450780e-03
4.299999999999999822e+00,2.179999999999999716e+00,5.403667304475459066e-01,3.467642423296100618e-01,1.128690272228440872e-01
4.479999999999999538e+00,2.179999999999999716e+00,5.855096494781656391e-01,3.164641088157054694e-01,9.802624170612894705e-02
4.659999999999999254e+00,2.179999999999999716e+00,6.292231650713943081e-01,2.862193140647245060e-01,8.455752086388115818e-02
4.839999999999998970e+00,2.179999999999999716e+00,6.706590032561202674e-01,2.568172089013840420e-01,7.252378784249559340e-02
5.019999999999998685e+00,2.179999999999999716e+00,7.091523987539205542e-01,2.289168576854020976e-01,6.193074356067723718e-02
5.199999999999998401e+00,2.179999999999999716e+00,7.442590317658942523e-01,2.030085005573779022e-01,5.273246767672783858e-02
5.379999999999998117e+00,2.179999999999999716e+00,7.757578459355753964e-01,1.794011636074506477e-01,4.484099045697390040e-02
5.559999999999997833e+00,2.179999999999999716e+00,8.036260633394689545e-01,1.582348213041725182e-01,3.813911535635865907e-02
5.739999999999997549e+00,2.179999999999999716e+00,8.279972563391500007e-01,1.395090500778006781e-01,3.249369358304929345e-02
5.919999999999997264e+00,2.179999999999999716e+00,8.491136779189323303e-01,1.231190812933993101e-01,2.776724078766844989e-02
6.099999999999996980e+00,2.179999999999999716e+00,8.672814968587759799e-01,1.088917309160808006e-01,2.382677222514324386e-02
6.279999999999996696e+00,2.179999999999999716e+00,8.828339700569517445e-01,9.661641164793038916e-02,2.054961829511784896e-02
6.459999999999996412e+00,2.179999999999999716e+00,8.961043277872178248e-01,8.606910301359052551e-02,1.782656919919167401e-02
6.639999999999996128e+00,2.179999999999999716e+00,9.074079128551674200e-01,7.702911823500735444e-02,1.556296890982511449e-02
6.819999999999995843e+00,2.179999999999999716e+00,9.170319538381408453e-01,6.928962978212803436e-02,1.367841637973120361e-02
6.999999999999995559e+00,2.179999999999999716e+00,9.252310046679189659e-01,6.266335612512582975e-02,1.210563920695528935e-02
7.179999999999995275e+00,2.179999999999999716e+00,9.322262184805532037e-01,5.698481711556119267e-02,1.078896440388565393e-02
7.359999999999994991e+00,2.179999999999999716e+00,9.382069746121215470e-01,5.211035259262183222e-02,9.682672795256676290e-03
7.539999999999994706e+00,2.179999999999999716e+00,9.433337722476039522e-01,4.791681688355439034e-02,8.749410868841549921e-03
7.719999999999994422e+00,2.179999999999999716e+00,9.477416546449375367e-01,4.429959321386717219e-02,7.958752141195270247e-03
4.299999999999999822e+00,2.474999999999999645e+00,3.548851143835267674e-01,4.655517311895198684e-01,1.795631544269532254e-01
4.479999999999999538e+00,2.474999999999999645e+00,3.956352771949550040e-01,4.428693310899101676e-01,1.614953917151349672e-01
4.659999999999999254e+00,2.474999999999999645e+00,4.387553070500277430e-01,4.171416215365445490e-01,1.441030714134276525e-01
4.839999999999998970e+00,2.474999999999999645e+00,4.835127782591139289e-01,3.889366161049329640e-01,1.275506056359531348e-01
5.019999999999998685e+00,2.474999999999999645e+00,5.290158170957461881e-01,3.589816732309308867e-01,1.120025096733230086e-01
5.199999999999998401e+00,2.474999999999999645e+00,5.742851254678328354e-01,3.281078255607537963e-01,9.760704897141340985e-02
5.379999999999998117e+00,2.474999999999999645e+00,6.183449671384609880e-01,2.971750229925528286e-01,8.448000986898611397e-02
5.559999999999997833e+00,2.474999999999999645e+00,6.603153609656946532e-01,2.669924194702784637e-01,7.269221956402689699e-02
5.739999999999997549e+00,2.474999999999999645e+00,6.994869249039926684e-01,2.382495630623613636e-01,6.226351203364589165e-02
5.919999999999997264e+00,2.474999999999999645e+00,7.353652431000999856e-01,2.114707538260001685e-01,5.316400307389990143e-02
6.099999999999996980e+00,2.474999999999999645e+00,7.676807512017603807e-01,1.869976579246151183e-01,4.532159087362450794e-02
6.279999999999996696e+00,2.474999999999999645e+00,7.963689694453746082e-01,1.649977324208345975e-01,3.863329813379074579e-02
6.459999999999996412e+00,2.474999999999999645e+00,8.215313538888131539e-01,1.454908960879265356e-01,3.297775002326038679e-02
6.639999999999996128e+00,2.474999999999999645e+00,8.433881823428807101e-01,1.283852362421134541e-01,2.822658141500574910e-02
6.819999999999995843e+00,2.474999999999999645e+00,8.622327870908687020e-01,1.135137505795922180e-01,2.425346232953909734e-02
6.999999999999995559e+00,2.474999999999999645e+00,8.783929184010621505e-01,1.006667695558710329e-01,2.094031204306670557e-02
7.179999999999995275e+00,2.474999999999999645e+00,8.922016206051249787e-01,8.961747594649972781e-02,1.818090344837543573e-02
