sepal length (cm),petal width (cm),setosa,versicolor,virginica
4.299999999999999822e+00,1.000000000000000056e-01,9.615025633969108698e-01,3.848709851184858172e-02,1.033809124060771030e-05
4.359999999999999432e+00,1.000000000000000056e-01,9.616739418445414689e-01,3.831584018415173931e-02,1.021797130675239410e-05
4.419999999999999041e+00,1.000000000000000056e-01,9.618434901671961690e-01,3.814640987120863219e-02,1.009996159504917830e-05
4.479999999999998650e+00,1.000000000000000056e-01,9.620112284673820735e-01,3.797878751371948358e-02,9.984018898562781590e-06
4.539999999999998259e+00,1.000000000000000056e-01,9.621771766123405900e-01,3.781295328665550820e-02,9.870101003727673396e-06
4.599999999999997868e+00,1.000000000000000056e-01,9.623413542366003881e-01,3.764888759673395285e-02,9.758166665585235082e-06
4.659999999999997478e+00,1.000000000000000056e-01,9.625037807445068205e-01,3.748657107990954057e-02,9.648175583675130422e-06
4.719999999999997087e+00,1.000000000000000056e-01,9.626644753127387988e-01,3.732598459888260278e-02,9.540088378561945715e-06
4.779999999999996696e+00,1.000000000000000056e-01,9.628234568928063508e-01,3.716710924062456567e-02,9.433866568980882219e-06
4.839999999999996305e+00,1.000000000000000056e-01,9.629807442135300821e-01,3.700992631392033966e-02,9.329472549584379515e-06
4.899999999999995914e+00,1.000000000000000056e-01,9.631363557835017630e-01,3.685441734692902760e-02,9.226869569274389289e-06
4.959999999999995524e+00,1.000000000000000056e-01,9.632903098935281516e-01,3.670056408476175119e-02,9.126021710103152240e-06
5.019999999999995133e+00,1.000000000000000056e-01,9.634426246190553877e-01,3.654834848707780998e-02,9.026893866727661768e-06
5.079999999999994742e+00,1.000000000000000056e-01,9.635933178225746243e-01,3.639775272569890918e-02,8.929451726402581443e-06
5.139999999999994351e+00,1.000000000000000056e-01,9.637424071560085626e-01,3.624875918224198384e-02,8.833661749496705059e-06
5.199999999999993960e+00,1.000000000000000056e-01,9.638899100630793360e-01,3.610135044577011260e-02,8.739491150518702024e-06
5.259999999999993570e+00,1.000000000000000056e-01,9.640358437816578530e-01,3.595550931046264526e-02,8.646907879638497305e-06
5.319999999999993179e+00,1.000000000000000056e-01,9.641802253460917127e-01,3.581121877330360748e-02,8.555880604690570769e-06
5.379999999999992788e+00,1.000000000000000056e-01,9.643230715895168004e-01,3.566846203178947877e-02,8.466378693645991004e-06
5.439999999999992397e+00,1.000000000000000056e-01,9.644643991461463450e-01,3.552722248165589986e-02,8.378372197540710209e-06
5.499999999999992006e+00,1.000000000000000056e-01,9.646042244535429910e-01,3.538748371462320519e-02,8.291831833847509536e-06
5.559999999999991616e+00,1.000000000000000056e-01,9.647425637548682209e-01,3.524922951616155098e-02,8.206728970279265469e-06
5.619999999999991225e+00,1.000000000000000056e-01,9.648794331011157910e-01,3.511244386327518757e-02,8.123035609012624057e-06
5.679999999999990834e+00,1.000000000000000056e-01,9.650148483533222965e-01,3.497711092230629953e-02,8.040724371319890826e-06
5.739999999999990443e+00,1.000000000000000056e-01,9.651488251847596400e-01,3.484321504675785830e-02,7.959768482598265536e-06
5.799999999999990052e+00,1.000000000000000056e-01,9.652813790831058505e-01,3.471074077513638251e-02,7.880141757786018531e-06
5.859999999999989662e+00,1.000000000000000056e-01,9.654125253525989159e-01,3.457967282881393295e-02,7.801818587154680260e-06
5.919999999999989271e+00,1.000000000000000056e-01,9.655422791161678564e-01,3.444999610990974459e-02,7.724773922467303191e-06
5.979999999999988880e+00,1.000000000000000056e-01,9.656706553175451457e-01,3.432169569919140545e-02,7.648983263492924799e-06
6.039999999999988489e+00,1.000000000000000056e-01,9.657976687233593704e-01,3.419475685399567949e-02,7.574422644867408577e-06
6.099999999999988098e+00,1.000000000000000056e-01,9.659233339252076833e-01,3.406916500616890414e-02,7.501068623291715879e-06
6.159999999999987708e+00,1.000000000000000056e-01,9.660476653417087167e-01,3.394490576002645588e-02,7.428898265057876163e-06
6.219999999999987317e+00,1.000000000000000056e-01,9.661706772205334026e-01,3.382196489033269943e-02,7.357889133894642727e-06
6.279999999999986926e+00,1.000000000000000056e-01,9.662923836404211375e-01,3.370032834029978303e-02,7.288019279123533496e-06
6.339999999999986535e+00,1.000000000000000056e-01,9.664127985131698573e-01,3.357998221960595969e-02,7.219267224117214292e-06
6.399999999999986144e+00,1.000000000000000056e-01,9.665319355856107908e-01,3.346091280243403826e-02,7.151611955052261633e-06
6.459999999999985754e+00,1.000000000000000056e-01,9.666498084415618974e-01,3.334310652552815307e-02,7.085032909947911798e-06
6.519999999999985363e+00,1.000000000000000056e-01,9.667664305037608763e-01,3.322654998627110057e-02,7.019509967983786980e-06
6.579999999999984972e+00,1.000000000000000056e-01,9.668818150357807450e-01,3.311122994078032067e-02,6.955023439088597435e-06
6.639999999999984581e+00,1.000000000000000056e-01,9.669959751439229922e-01,3.299713330202325851e-02,6.891554053792702021e-06
6.699999999999984190e+00,1.000000000000000056e-01,9.671089237790944093e-01,3.288424713795216198e-02,6.829082953337718675e-06
6.759999999999983800e+00,1.000000000000000056e-01,9.672206737386621622e-01,3.277255866965789882e-02,6.767591680036057881e-06
6.819999999999983409e+00,1.000000000000000056e-01,9.673312376682893232e-01,3.266205526954286259e-02,6.707062167873773141e-06
6.879999999999983018e+00,1.000000000000000056e-01,9.674406280637537492e-01,3.255272445951291199e-02,6.647476733350240155e-06
6.939999999999982627e+00,1.000000000000000056e-01,9.675488572727451997e-01,3.244455390918837834e-02,6.588818066548527968e-06
6.999999999999982236e+00,1.000000000000000056e-01,9.676559374966442473e-01,3.233753143413345410e-02,6.531069222430036490e-06
7.059999999999981846e+00,1.000000000000000056e-01,9.677618807922825361e-01,3.223164499410512834e-02,6.474213612347715947e-06
7.119999999999981455e+00,1.000000000000000056e-01,9.678666990736841669e-01,3.212688269132017715e-02,6.418234995771947514e-06
7.179999999999981064e+00,1.000000000000000056e-01,9.679704041137870973e-01,3.202323276874055602e-02,6.363117472223321050e-06
7.239999999999980673e+00,1.000000000000000056e-01,9.680730075461483342e-01,3.192068360837826968e-02,6.308845473407208282e-06
