sepal length (cm),sepal width (cm),setosa,versicolor,virginica
4.299999999999999822e+00,2.000000000000000000e+00,2.602282729313190046e-01,4.600781670960463754e-01,2.796935599726346200e-01
4.359999999999999432e+00,2.000000000000000000e+00,2.230787133197497385e-01,4.733494779285030152e-01,3.035718087517471631e-01
4.419999999999999041e+00,2.000000000000000000e+00,1.904568534829228499e-01,4.830638156948787731e-01,3.264793308221984325e-01
4.479999999999998650e+00,2.000000000000000000e+00,1.621780547629153579e-01,4.895466176091406441e-01,3.482753276279440535e-01
4.539999999999998259e+00,2.000000000000000000e+00,1.379181139727882477e-01,4.931926731066769154e-01,3.688892129205347814e-01
4.599999999999997868e+00,2.000000000000000000e+00,1.172743042002096503e-01,4.944212695419730186e-01,3.883044262578173589e-01
4.659999999999997478e+00,2.000000000000000000e+00,9.981395457464653509e-02,4.936434297747412381e-01,4.065426156506123379e-01
4.719999999999997087e+00,2.000000000000000000e+00,8.510911066119861146e-02,4.912408235723099148e-01,4.236500657664913905e-01
4.779999999999996696e+00,2.000000000000000000e+00,7.275860749819074158e-02,4.875542972446579859e-01,4.396870952571511615e-01
4.839999999999996305e+00,2.000000000000000000e+00,6.240014414612951588e-02,4.828794647359960779e-01,4.547203911178744340e-01
4.899999999999995914e+00,2.000000000000000000e+00,5.371516383770338909e-02,4.774669800709904210e-01,4.688178560913062176e-01
4.959999999999995524e+00,2.000000000000000000e+00,4.642900325504530079e-02,4.715255852620593435e-01,4.820454114828953696e-01
5.019999999999995133e+00,2.000000000000000000e+00,4.030822782604902982e-02,4.652265575463655489e-01,4.944652146275854143e-01
5.079999999999994742e+00,2.000000000000000000e+00,3.515651943845798932e-02,4.587086439809877625e-01,5.061348365805543592e-01
5.139999999999994351e+00,2.000000000000000000e+00,3.081002036758103899e-02,4.520829286357654353e-01,5.171070509966534390e-01
5.199999999999993960e+00,2.000000000000000000e+00,2.713268741915582025e-02,4.454373292138782969e-01,5.274299833669658932e-01
