sepal width (cm),petal length (cm),setosa,versicolor,virginica
2.000000000000000000e+00,1.000000000000000000e+00,9.437114417695106061e-01,5.610404137148661957e-02,1.845168590028683684e-04
2.040000000000000036e+00,1.000000000000000000e+00,9.469348216272057694e-01,5.289344664213535552e-02,1.717317306589057470e-04
2.080000000000000071e+00,1.000000000000000000e+00,9.498930480789713471e-01,4.994675461413034673e-02,1.601973068982090736e-04
2.120000000000000107e+00,1.000000000000000000e+00,9.526090265123221545e-01,4.724119738207908925e-02,1.497761055986253679e-04
2.160000000000000142e+00,1.000000000000000000e+00,9.551038229036973304e-01,4.475583029811425195e-02,1.403467981884689208e-04
2.200000000000000178e+00,1.000000000000000000e+00,9.573967617550711573e-01,4.247143598603427689e-02,1.318022588945126357e-04
2.240000000000000213e+00,1.000000000000000000e+00,9.595055311431562872e-01,4.037042100961070468e-02,1.240478472331819264e-04
2.280000000000000249e+00,1.000000000000000000e+00,9.614462911929553268e-01,3.843670890963261227e-02,1.169998974120703509e-04
2.320000000000000284e+00,1.000000000000000000e+00,9.632337830809443169e-01,3.665563252816084888e-02,1.105843908947232981e-04
2.360000000000000320e+00,1.000000000000000000e+00,9.648814363539005567e-01,3.501382785530989666e-02,1.047357907895300966e-04
2.400000000000000355e+00,1.000000000000000000e+00,9.664014729224356115e-01,3.349913105861086760e-02,9.939601895359862751e-05
2.440000000000000391e+00,1.000000000000000000e+00,9.678050065621096598e-01,3.210047987913444700e-02,9.451355875585422893e-05
2.480000000000000426e+00,1.000000000000000000e+00,9.691021371400061479e-01,3.080782019167047428e-02,9.004266832334888160e-05
2.520000000000000462e+00,1.000000000000000000e+00,9.703020390919612215e-01,2.961201821723286054e-02,8.594269080590803971e-05
2.560000000000000497e+00,1.000000000000000000e+00,9.714130439163558561e-01,2.850477863390058972e-02,8.217744974360787066e-05
2.600000000000000533e+00,1.000000000000000000e+00,9.724427166349659535e-01,2.747856864601658233e-02,7.871471901755323897e-05
2.640000000000000568e+00,1.000000000000000000e+00,9.733979263094483247e-01,2.652654793243514747e-02,7.552575811642954354e-05
2.680000000000000604e+00,1.000000000000000000e+00,9.742849108021398585e-01,2.564250429329054462e-02,7.258490456957449944e-05
2.720000000000000639e+00,1.000000000000000000e+00,9.751093360393989773e-01,2.482079474420863241e-02,6.986921639236845201e-05
2.760000000000000675e+00,1.000000000000000000e+00,9.758763500810920810e-01,2.405629176063577707e-02,6.735815827218831172e-05
2.800000000000000711e+00,1.000000000000000000e+00,9.765906323263243705e-01,2.334433434767226381e-02,6.503332600340572028e-05
2.840000000000000746e+00,1.000000000000000000e+00,9.772564381975987757e-01,2.268068359803343190e-02,6.287820436793989224e-05
2.880000000000000782e+00,1.000000000000000000e+00,9.778776396468360499e-01,2.206148239890078425e-02,6.087795426318461881e-05
2.920000000000000817e+00,1.000000000000000000e+00,9.784577618200477334e-01,2.148321895454182243e-02,5.901922541056750900e-05
2.960000000000000853e+00,1.000000000000000000e+00,9.790000162052133748e-01,2.094269380334279687e-02,5.728999144376332314e-05
3.000000000000000888e+00,1.000000000000000000e+00,9.795073305719360635e-01,2.043699002348058763e-02,5.567940458317134064e-05
3.040000000000000924e+00,1.000000000000000000e+00,9.799823759931026723e-01,1.996344633943765781e-02,5.417766745948083976e-05
3.080000000000000959e+00,1.000000000000000000e+00,9.804275912191851017e-01,1.951963286085482002e-02,5.277591996013990212e-05
3.120000000000000995e+00,1.000000000000000000e+00,9.808452046557510906e-01,1.910332920500508111e-02,5.146613924380751573e-05
3.160000000000001030e+00,1.000000000000000000e+00,9.812372541748319854e-01,1.871250477386365504e-02,5.024105130432059640e-05
3.200000000000001066e+00,1.000000000000000000e+00,9.816056049714116938e-01,1.834530097591670697e-02,4.909405267170413736e-05
3.240000000000001101e+00,1.000000000000000000e+00,9.819519656577779809e-01,1.800001520120484561e-02,4.801914101714514072e-05
3.280000000000001137e+00,1.000000000000000000e+00,9.822779027709690469e-01,1.767508637544575045e-02,4.701085358504429352e-05
3.320000000000001172e+00,1.000000000000000000e+00,9.825848538521757547e-01,1.736908193531299521e-02,4.606421251122533062e-05
3.360000000000001208e+00,1.000000000000000000e+00,9.828741392417807976e-01,1.708068608201459074e-02,4.517467620475164195e-05
