sepal width (cm),petal width (cm),setosa,versicolor,virginica
2.000000000000000000e+00,1.000000000000000056e-01,8.306160748266875338e-01,1.690870615446259106e-01,2.968636286866812397e-04
2.040000000000000036e+00,1.000000000000000056e-01,8.407022478735400872e-01,1.590315581972994441e-01,2.661939291604023907e-04
2.080000000000000071e+00,1.000000000000000056e-01,8.501550399058451779e-01,1.496060109417530204e-01,2.389491524016995692e-04
2.120000000000000107e+00,1.000000000000000056e-01,8.590029938366837703e-01,1.407822629336272502e-01,2.147432296888723737e-04
2.160000000000000142e+00,1.000000000000000056e-01,8.672756047745080465e-01,1.325311637680811894e-01,1.932314574108299501e-04
2.200000000000000178e+00,1.000000000000000056e-01,8.750028367302992161e-01,1.248230565693725369e-01,1.741067003282471251e-04
2.240000000000000213e+00,1.000000000000000056e-01,8.822147097606068966e-01,1.176281944367021520e-01,1.570958026910302069e-04
2.280000000000000249e+00,1.000000000000000056e-01,8.889409543558564053e-01,1.109170894179042771e-01,1.419562262394754714e-04
2.320000000000000284e+00,1.000000000000000056e-01,8.952107284546985122e-01,1.046607986191691875e-01,1.284729261320965760e-04
2.360000000000000320e+00,1.000000000000000056e-01,9.010523915490509239e-01,9.883115298196562537e-02,1.164554689834852616e-04
2.400000000000000355e+00,1.000000000000000056e-01,9.064933298530211125e-01,9.340093475545574453e-02,1.057353915230619399e-04
2.440000000000000391e+00,1.000000000000000056e-01,9.115598263549392621e-01,8.834400985118356919e-02,9.616379387704733267e-05
2.480000000000000426e+00,1.000000000000000056e-01,9.162769696743059411e-01,8.363542116764417778e-02,8.760915804989150078e-05
2.520000000000000462e+00,1.000000000000000056e-01,9.206685959330002111e-01,7.925144868727869440e-02,7.995537972105271323e-05
2.560000000000000497e+00,1.000000000000000056e-01,9.247572582619278947e-01,7.516964173822815454e-02,7.309999984391920538e-05
2.600000000000000533e+00,1.000000000000000056e-01,9.285642190508751614e-01,7.136882832752738937e-02,6.695262159756548541e-05
2.640000000000000568e+00,1.000000000000000056e-01,9.321094605717890058e-01,6.782910593034544022e-02,6.143349786558440439e-05
2.680000000000000604e+00,1.000000000000000056e-01,9.354117101345430507e-01,6.453181759097963155e-02,5.647227447736906684e-05
2.720000000000000639e+00,1.000000000000000056e-01,9.384884764482229746e-01,6.145951667693895504e-02,5.200687483807054647e-05
2.760000000000000675e+00,1.000000000000000056e-01,9.413560943455661079e-01,5.859592314223195653e-02,4.798251220185997541e-05
2.800000000000000711e+00,1.000000000000000056e-01,9.440297754742992264e-01,5.592587370906824257e-02,4.435081663243162681e-05
2.840000000000000746e+00,1.000000000000000056e-01,9.465236629618600794e-01,5.343526797355723640e-02,4.106906458288007571e-05
