bill_depth_mm,body_mass_g,Adelie,Gentoo,Chinstrap
1.309999999999999964e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.320500000000000007e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.331000000000000050e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.341500000000000092e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.352000000000000135e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.362500000000000178e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.373000000000000220e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.383500000000000263e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.394000000000000306e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.404500000000000348e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.415000000000000391e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.425500000000000433e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.436000000000000476e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.446500000000000519e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.457000000000000561e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.467500000000000604e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.478000000000000647e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.488500000000000689e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.499000000000000732e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.509500000000000774e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.520000000000000817e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.530500000000000860e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.541000000000000902e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.551500000000000945e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.562000000000000988e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.572500000000001030e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.583000000000001073e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.593500000000001116e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.604000000000001336e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.614500000000001023e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.625000000000001421e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.635500000000001108e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.646000000000001506e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.656500000000001194e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.667000000000001592e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.677500000000001279e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.688000000000001677e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.698500000000001364e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.709000000000001762e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.719500000000001450e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.730000000000001847e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.740500000000001535e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.751000000000001933e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.761500000000001620e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.772000000000002018e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.782500000000001705e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.793000000000002103e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.803500000000001791e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.814000000000002188e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.824500000000001876e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.835000000000002274e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.845500000000001961e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.856000000000002359e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.866500000000002046e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.877000000000002444e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.887500000000002132e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.898000000000002530e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.908500000000002217e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.919000000000002615e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.929500000000002302e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.940000000000002700e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.950500000000002387e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.961000000000002785e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.971500000000002473e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.982000000000002871e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.992500000000002558e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.003000000000002956e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.013500000000002643e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.024000000000003041e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.034500000000002728e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.045000000000003126e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.055500000000002814e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.066000000000003212e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.076500000000002899e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.087000000000003297e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.097500000000002984e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.108000000000003382e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.118500000000003070e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.129000000000003467e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
2.139500000000003155e+01,2.700000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.309999999999999964e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.320500000000000007e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.331000000000000050e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.341500000000000092e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.352000000000000135e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.362500000000000178e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.373000000000000220e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.383500000000000263e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.394000000000000306e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.404500000000000348e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.415000000000000391e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.425500000000000433e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.436000000000000476e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.446500000000000519e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.457000000000000561e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.467500000000000604e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.478000000000000647e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
1.488500000000000689e+01,2.745000000000000000e+03,4.322588203327110135e-01,3.843341726487991550e-01,1.834070070184898871e-01
