bill_depth_mm,flipper_length_mm,Adelie,Gentoo,Chinstrap
1.309999999999999964e+01,1.720000000000000000e+02,1.328393712380132596e-01,7.666445837065959390e-01,1.005160450553908291e-01
1.320500000000000007e+01,1.720000000000000000e+02,1.587743562774086570e-01,7.232049719847408742e-01,1.180206717378505521e-01
1.331000000000000050e+01,1.720000000000000000e+02,1.887519265869638807e-01,6.735082556600504589e-01,1.377398177529856049e-01
1.341500000000000092e+01,1.720000000000000000e+02,2.225461278658010245e-01,6.181161816654674457e-01,1.593376904687315299e-01
1.352000000000000135e+01,1.720000000000000000e+02,2.595444987756924671e-01,5.582324558847105989e-01,1.822230453395970451e-01
1.362500000000000178e+01,1.720000000000000000e+02,2.987504560008660826e-01,4.956689127697521124e-01,2.055806312293818605e-01
1.373000000000000220e+01,1.720000000000000000e+02,3.388799198404534030e-01,4.326544199886229736e-01,2.284656601709235957e-01
1.383500000000000263e+01,1.720000000000000000e+02,3.785402432589620170e-01,3.715164719371668589e-01,2.499432848038710131e-01
1.394000000000000306e+01,1.720000000000000000e+02,4.164411831058840718e-01,3.143268595048311909e-01,2.692319573892847373e-01
1.404500000000000348e+01,1.720000000000000000e+02,4.515716131337099704e-01,2.626226846105493840e-01,2.858057022557407012e-01
1.415000000000000391e+01,1.720000000000000000e+02,4.832935249798727684e-01,2.172770610878637099e-01,2.994294139322635773e-01
1.425500000000000433e+01,1.720000000000000000e+02,5.113434635497936531e-01,1.785262770546399702e-01,3.101302593955663212e-01
1.436000000000000476e+01,1.720000000000000000e+02,5.357656761842880533e-01,1.461050358267528271e-01,3.181292879889591196e-01
1.446500000000000519e+01,1.720000000000000000e+02,5.568149143785695587e-01,1.194230024350856761e-01,3.237620831863448623e-01
1.457000000000000561e+01,1.720000000000000000e+02,5.748612071531464807e-01,9.772926067354603674e-02,3.274095321733074271e-01
1.467500000000000604e+01,1.720000000000000000e+02,5.903147334459348805e-01,8.023704048822494217e-02,3.294482260658401218e-01
1.478000000000000647e+01,1.720000000000000000e+02,6.035757880932632879e-01,6.620326170899661078e-02,3.302209501977401152e-01
1.488500000000000689e+01,1.720000000000000000e+02,6.150068750918733507e-01,5.497003590618796537e-02,3.300230890019386631e-01
1.499000000000000732e+01,1.720000000000000000e+02,6.249209391721228801e-01,4.597941482341341007e-02,3.290996460044637861e-01
1.509500000000000774e+01,1.720000000000000000e+02,6.335797763558300710e-01,3.877190615900532461e-02,3.276483174851645974e-01
1.520000000000000817e+01,1.720000000000000000e+02,6.411979794398238175e-01,3.297663788989475819e-02,3.258253826702814937e-01
1.530500000000000860e+01,1.720000000000000000e+02,6.479492966209767779e-01,2.829829302269109420e-02,3.237524103563321765e-01
1.541000000000000902e+01,1.720000000000000000e+02,6.539735396991243066e-01,2.450376130171700098e-02,3.215226989991587514e-01
1.551500000000000945e+01,1.720000000000000000e+02,6.593830611098547845e-01,2.140997989690172909e-02,3.192069589932435281e-01
1.562000000000000988e+01,1.720000000000000000e+02,6.642683732439880195e-01,1.887353904895000545e-02,3.168580877070620860e-01
1.572500000000001030e+01,1.720000000000000000e+02,6.687027994050468438e-01,1.678213664223118448e-02,3.145150639527218850e-01
1.583000000000001073e+01,1.720000000000000000e+02,6.727462071327711124e-01,1.504772741013586310e-02,3.122060654570930627e-01
1.593500000000001116e+01,1.720000000000000000e+02,6.764479439409486483e-01,1.360112050400732672e-02,3.099509355550441048e-01
1.604000000000001336e+01,1.720000000000000000e+02,6.798491142185427716e-01,1.238776449108949275e-02,3.077631212903677027e-01
1.614500000000001023e+01,1.720000000000000000e+02,6.829843295100199718e-01,1.136448052859600349e-02,3.056511899613840733e-01
1.625000000000001421e+01,1.720000000000000000e+02,6.858830471764600922e-01,1.049693980751429702e-02,3.036200130160256472e-01
1.635500000000001108e+01,1.720000000000000000e+02,6.885705923316992605e-01,9.757718754737935637e-03,3.016716889135628299e-01
1.646000000000001506e+01,1.720000000000000000e+02,6.910689387550007501e-01,9.124799615359160607e-03,2.998062616296400806e-01
1.656500000000001194e+01,1.720000000000000000e+02,6.933973077921157246e-01,8.580412983210815650e-03,2.980222792246733921e-01
1.667000000000001592e+01,1.720000000000000000e+02,6.955726304947800198e-01,8.110142370074751098e-03,2.963172271351453002e-01
1.677500000000001279e+01,1.720000000000000000e+02,6.976099072789871958e-01,7.702229516094434222e-03,2.946878632049185209e-01
1.688000000000001677e+01,1.720000000000000000e+02,6.995224908384728435e-01,7.347033619218515214e-03,2.931304755423085884e-01
1.698500000000001364e+01,1.720000000000000000e+02,7.013223115050276624e-01,7.036608793810055634e-03,2.916410797011623202e-01
1.709000000000001762e+01,1.720000000000000000e+02,7.030200592956421524e-01,6.764372568828364019e-03,2.902155681355294004e-01
1.719500000000001450e+01,1.720000000000000000e+02,7.046253331758085547e-01,6.524844698659369203e-03,2.888498221255320630e-01
1.730000000000001847e+01,1.720000000000000000e+02,7.061467653084417817e-01,6.313440462204563709e-03,2.875397942293537179e-01
1.740500000000001535e+01,1.720000000000000000e+02,7.075921260175552785e-01,6.126306342264547199e-03,2.862815676401801457e-01
1.751000000000001933e+01,1.720000000000000000e+02,7.089684136948428694e-01,5.960188795794029576e-03,2.850713975093631114e-01
1.761500000000001620e+01,1.720000000000000000e+02,7.102819327774524405e-01,5.812328966017246516e-03,2.839057382565301491e-01
1.772000000000002018e+01,1.720000000000000000e+02,7.115383621218323018e-01,5.680377816051988479e-03,2.827812600621157912e-01
1.782500000000001705e+01,1.720000000000000000e+02,7.127428155129883480e-01,5.562327406040193378e-03,2.816948570809714170e-01
1.793000000000002103e+01,1.720000000000000000e+02,7.138998956223594483e-01,5.456454986170812885e-03,2.806436493914695740e-01
1.803500000000001791e+01,1.720000000000000000e+02,7.150137424174561884e-01,5.361277307315932480e-03,2.796249802752279190e-01
1.814000000000002188e+01,1.720000000000000000e+02,7.160880768006189223e-01,5.275513112578866272e-03,2.786364100868022331e-01
1.824500000000001876e+01,1.720000000000000000e+02,7.171262400893859690e-01,5.198052206978815912e-03,2.776757077036352550e-01
1.835000000000002274e+01,1.720000000000000000e+02,7.181312298300228658e-01,5.127929838995962802e-03,2.767408403309811193e-01
1.845500000000001961e+01,1.720000000000000000e+02,7.191057323464448148e-01,5.064305389606196112e-03,2.758299622639490134e-01
1.856000000000002359e+01,1.720000000000000000e+02,7.200521523601136620e-01,5.006444569035143309e-03,2.749414030708511314e-01
1.866500000000002046e+01,1.720000000000000000e+02,7.209726399661279261e-01,4.953704481888744800e-03,2.740736555519834305e-01
1.877000000000002444e+01,1.720000000000000000e+02,7.218691152120203514e-01,4.905521047572622417e-03,2.732253637404070679e-01
1.887500000000002132e+01,1.720000000000000000e+02,7.227432904954734783e-01,4.861398362641624477e-03,2.723953111418848105e-01
1.898000000000002530e+01,1.720000000000000000e+02,7.235966909729018015e-01,4.820899670782059256e-03,2.715824093563160568e-01
1.908500000000002217e+01,1.720000000000000000e+02,7.244306731509868591e-01,4.783639669034473775e-03,2.707856871799786957e-01
1.919000000000002615e+01,1.720000000000000000e+02,7.252464418166256754e-01,4.749277929092933330e-03,2.700042802542813591e-01
1.929500000000002302e+01,1.720000000000000000e+02,7.260450654465142595e-01,4.717513252766250206e-03,2.692374213007194261e-01
1.940000000000002700e+01,1.720000000000000000e+02,7.268274902251936620e-01,4.688078813052221072e-03,2.684844309617542835e-01
1.950500000000002387e+01,1.720000000000000000e+02,7.275945527893991072e-01,4.660737958393281269e-03,2.677447092522075023e-01
1.961000000000002785e+01,1.720000000000000000e+02,7.283469918067151383e-01,4.635280578830092667e-03,2.670177276144546918e-01
1.971500000000002473e+01,1.720000000000000000e+02,7.290854584876075295e-01,4.611519949953473210e-03,2.663030215624389574e-01
1.982000000000002871e+01,1.720000000000000000e+02,7.298105261217986417e-01,4.589289984564825370e-03,2.656001838936365989e-01
1.992500000000002558e+01,1.720000000000000000e+02,7.305226987224849866e-01,4.568442833417882265e-03,2.649088584440970617e-01
2.003000000000002956e+01,1.720000000000000000e+02,7.312224188550731085e-01,4.548846785823592448e-03,2.642287343591033233e-01
2.013500000000002643e+01,1.720000000000000000e+02,7.319100747207977209e-01,4.530384428651447817e-03,2.635595408505509440e-01
2.024000000000003041e+01,1.720000000000000000e+02,7.325860065597949999e-01,4.512951028666868647e-03,2.629010424115380551e-01
2.034500000000002728e+01,1.720000000000000000e+02,7.332505124328506652e-01,4.496453108458238999e-03,2.622530344586909701e-01
2.045000000000003126e+01,1.720000000000000000e+02,7.339038534361169708e-01,4.480807190629232731e-03,2.616153393732537635e-01
