bill_length_mm,bill_depth_mm,Adelie,Gentoo,Chinstrap
3.210000000000000142e+01,1.309999999999999964e+01,4.761396334287490983e-01,7.795578809272613041e-02,4.459045784785248268e-01
3.244375000000000142e+01,1.309999999999999964e+01,3.810492424234039888e-01,9.088600779854499878e-02,5.280647497780510680e-01
3.278750000000000142e+01,1.309999999999999964e+01,2.966206308170550865e-01,1.035192690803084792e-01,5.998601001026364621e-01
3.313125000000000142e+01,1.309999999999999964e+01,2.268802239858064840e-01,1.160648722319830156e-01,6.570549037822105420e-01
3.347500000000000142e+01,1.309999999999999964e+01,1.723186237691923806e-01,1.291705733435544734e-01,6.985108028872532016e-01
3.381875000000000142e+01,1.309999999999999964e+01,1.311418842118859673e-01,1.437514663982949470e-01,7.251066493898190579e-01
3.416250000000000142e+01,1.309999999999999964e+01,1.006755326390178368e-01,1.608501539494661126e-01,7.384743134115160368e-01
3.450625000000000142e+01,1.309999999999999964e+01,7.828198807100204826e-02,1.815647067839276374e-01,7.401533051450703837e-01
3.485000000000000142e+01,1.309999999999999964e+01,6.176018183466581990e-02,2.070137027703288779e-01,7.312261153950053716e-01
3.519375000000000142e+01,1.309999999999999964e+01,4.942454586157606772e-02,2.382893818975457267e-01,7.122860722408781431e-01
3.553750000000000142e+01,1.309999999999999964e+01,4.004384431293323693e-02,2.763562006907883117e-01,6.835999549962784583e-01
3.588125000000000142e+01,1.309999999999999964e+01,3.274346028819779403e-02,3.218689508575862113e-01,6.453875888542159878e-01
3.622500000000000142e+01,1.309999999999999964e+01,2.691532952656530350e-02,3.749164605199083455e-01,5.981682099535263752e-01
3.656875000000000142e+01,1.309999999999999964e+01,2.214753579209182213e-02,4.347501997556572073e-01,5.431022644522509601e-01
3.691250000000000142e+01,1.309999999999999964e+01,1.817153097246053395e-02,4.996182095455947714e-01,4.822102594819446808e-01
3.725625000000000142e+01,1.309999999999999964e+01,1.482075237878823989e-02,5.668462367851117012e-01,4.183330108361000277e-01
3.760000000000000142e+01,1.309999999999999964e+01,1.199565044348543941e-02,6.332338232395726685e-01,3.547705263169418366e-01
3.794375000000000142e+01,1.309999999999999964e+01,9.633920493899416834e-03,6.956700755865533603e-01,2.946960039195472558e-01
3.828750000000000142e+01,1.309999999999999964e+01,7.687895898080943091e-03,7.517312945653259471e-01,2.405808095365932209e-01
3.863125000000000142e+01,1.309999999999999964e+01,6.111200871308641348e-03,8.000264145121782633e-01,1.938623846165130893e-01
3.897500000000000142e+01,1.309999999999999964e+01,4.854249148336067105e-03,8.402071903643072437e-01,1.549385604873566302e-01
3.931875000000000142e+01,1.309999999999999964e+01,3.865601193734193378e-03,8.727294765784140429e-01,1.234049222278518626e-01
3.966250000000000142e+01,1.309999999999999964e+01,3.095525222682323115e-03,8.985240127958510348e-01,9.838046198146679910e-02
4.000625000000000142e+01,1.309999999999999964e+01,2.499183924473529286e-03,9.187037390883974197e-01,7.879707698712891395e-02
4.035000000000000142e+01,1.309999999999999964e+01,2.038408427179113930e-03,9.343637592106095457e-01,6.359783236221144831e-02
4.069375000000000142e+01,1.309999999999999964e+01,1.682093050947441968e-03,9.464741585999387752e-01,5.184374834911386482e-02
4.103750000000000142e+01,1.309999999999999964e+01,1.405673705735810582e-03,9.558407258026920816e-01,4.275360049157207742e-02
4.138125000000000142e+01,1.309999999999999964e+01,1.190167297619157622e-03,9.631057673514749062e-01,3.570406535090586003e-02
4.172500000000000142e+01,1.309999999999999964e+01,1.021106756989774824e-03,9.687679235621101670e-01,3.021096968090000029e-02
4.206875000000000142e+01,1.309999999999999964e+01,8.875549950608402914e-04,9.732080069217430296e-01,2.590443808319616709e-02
4.241250000000000142e+01,1.309999999999999964e+01,7.812731591133580946e-04,9.767141390806680645e-01,2.250458776021837734e-02
4.275625000000000142e+01,1.309999999999999964e+01,6.960564867464904626e-04,9.795033786383104957e-01,1.980056487494288170e-02
4.310000000000000142e+01,1.309999999999999964e+01,6.272216833358712496e-04,9.817391450681101084e-01,1.763363324855404118e-02
4.344375000000000142e+01,1.309999999999999964e+01,5.712195322373865222e-04,9.835447231480146657e-01,1.588405731974775262e-02
4.378750000000000142e+01,1.309999999999999964e+01,5.253458603724797281e-04,9.850134870527273989e-01,1.446116708690000155e-02
4.413125000000000142e+01,1.309999999999999964e+01,4.875274059927554968e-04,9.862165335356133378e-01,1.329593905839389009e-02
4.447500000000000142e+01,1.309999999999999964e+01,4.561636631522877927e-04,9.872083369619172322e-01,1.233549937493062798e-02
4.481875000000000142e+01,1.309999999999999964e+01,4.300100941233422967e-04,9.880309245113003680e-01,1.153906539457622872e-02
4.516250000000000142e+01,1.309999999999999964e+01,4.080917295823747863e-04,9.887169575484072714e-01,1.087495072201039199e-02
4.550625000000000142e+01,1.309999999999999964e+01,3.896390357681056007e-04,9.892920097103420352e-01,1.031835125388987431e-02
4.585000000000000142e+01,1.309999999999999964e+01,3.740400988853124988e-04,9.897762566881975754e-01,9.849703212917306633e-03
4.619375000000000142e+01,1.309999999999999964e+01,3.608047890689188172e-04,9.901857351821985453e-01,9.453460028732553130e-03
4.653750000000000142e+01,1.309999999999999964e+01,3.495377472026245597e-04,9.905332857872644059e-01,9.117176465532870339e-03
4.688125000000000142e+01,1.309999999999999964e+01,3.399178964341828708e-04,9.908292632674383649e-01,8.830818836127336466e-03
4.722500000000000142e+01,1.309999999999999964e+01,3.316828019891942658e-04,9.910820749338308255e-01,8.586242264180095340e-03
4.756875000000000142e+01,1.309999999999999964e+01,3.246166526486435810e-04,9.912985913802693227e-01,8.376791967082129406e-03
4.791250000000000142e+01,1.309999999999999964e+01,3.185409628484005880e-04,9.914844619329445941e-01,8.196997104206949630e-03
4.825625000000000142e+01,1.309999999999999964e+01,3.133073305617489540e-04,9.916443585642511493e-01,8.042334105187202639e-03
4.860000000000000142e+01,1.309999999999999964e+01,3.087917580103517442e-04,9.917821657828674864e-01,7.909042459122044011e-03
4.894375000000000142e+01,1.309999999999999964e+01,3.048901678022556414e-04,9.919011294762900555e-01,7.793980355907803061e-03
4.928750000000000142e+01,1.309999999999999964e+01,3.015148391977942230e-04,9.920039743713362501e-01,7.694510789466140789e-03
4.963125000000000142e+01,1.309999999999999964e+01,2.985915570790764599e-04,9.920929973512435662e-01,7.608411091677363437e-03
4.997500000000000142e+01,1.309999999999999964e+01,2.960573164607371334e-04,9.921701420806150473e-01,7.533800602924296645e-03
5.031875000000000142e+01,1.309999999999999964e+01,2.938584627844681679e-04,9.922370590666720336e-01,7.469082470543382188e-03
5.066250000000000142e+01,1.309999999999999964e+01,2.919491762176186825e-04,9.922951543013652786e-01,7.412896522417172437e-03
5.100625000000000142e+01,1.309999999999999964e+01,2.902902292100843578e-04,9.923456288932736014e-01,7.364080877516224893e-03
5.135000000000000142e+01,1.309999999999999964e+01,2.888479624590316428e-04,9.923895115454232085e-01,7.321640492117768330e-03
5.169375000000000142e+01,1.309999999999999964e+01,2.875934365055822181e-04,9.924276853175297841e-01,7.284721245964705279e-03
5.203750000000000142e+01,1.309999999999999964e+01,2.865017254077757724e-04,9.924609097940589875e-01,7.252588480533193882e-03
5.238125000000000142e+01,1.309999999999999964e+01,2.855513260118445725e-04,9.924898395374061044e-01,7.224609136581914073e-03
5.272500000000000142e+01,1.309999999999999964e+01,2.847236618057354487e-04,9.925150395197276376e-01,7.200236818466592727e-03
5.306875000000000142e+01,1.309999999999999964e+01,2.840026645763002369e-04,9.925369980836429296e-01,7.178999251780956471e-03
5.341250000000000142e+01,1.309999999999999964e+01,2.833744203969826075e-04,9.925561378708718241e-01,7.160487708731306383e-03
5.375625000000000142e+01,1.309999999999999964e+01,2.828268690650860280e-04,9.925728250712066991e-01,7.144348059728150395e-03
5.410000000000000142e+01,1.309999999999999964e+01,2.823495481520046251e-04,9.925873772762693337e-01,7.130273175578814848e-03
5.444375000000000142e+01,1.309999999999999964e+01,2.819333744506708817e-04,9.926000701689500216e-01,7.117996456599326623e-03
5.478750000000000142e+01,1.309999999999999964e+01,2.815704568969431610e-04,9.926111432369861820e-01,7.107286306116979840e-03
5.513125000000000142e+01,1.309999999999999964e+01,2.812539360777849187e-04,9.926208046652985617e-01,7.097941398623711269e-03
5.547500000000000142e+01,1.309999999999999964e+01,2.809778462743741084e-04,9.926292355346175711e-01,7.089786619108083207e-03
5.581875000000000142e+01,1.309999999999999964e+01,2.807369966653200616e-04,9.926365934320818818e-01,7.082669571252842543e-03
5.616250000000000142e+01,1.309999999999999964e+01,2.805268688667826842e-04,9.926430155618120033e-01,7.076457569321267620e-03
5.650625000000000142e+01,1.309999999999999964e+01,2.803435284381784244e-04,9.926486214290539678e-01,7.071035042507951840e-03
5.685000000000000142e+01,1.309999999999999964e+01,2.801835483541229976e-04,9.926535151596972417e-01,7.066301291948681035e-03
5.719375000000000142e+01,1.309999999999999964e+01,2.800439427509487066e-04,9.926577875072709611e-01,7.062168549978192940e-03
5.753750000000000142e+01,1.309999999999999964e+01,2.799221095119047470e-04,9.926615175914982325e-01,7.058560298989868635e-03
5.788125000000000142e+01,1.309999999999999964e+01,2.798157804685582066e-04,9.926647744058310074e-01,7.055409813700562992e-03
5.822500000000000142e+01,1.309999999999999964e+01,2.797229781748962149e-04,9.926676181258200504e-01,7.052658896005094616e-03
5.856875000000000142e+01,1.309999999999999964e+01,2.796419783611328461e-04,9.926701012455270146e-01,7.050256776111823651e-03
5.891250000000000142e+01,1.309999999999999964e+01,2.795712773014262845e-04,9.926722695652551165e-01,7.048159157443602447e-03
5.925625000000000142e+01,1.309999999999999964e+01,2.795095634373999773e-04,9.926741630505739877e-01,7.046327385988391222e-03
3.210000000000000142e+01,1.320500000000000007e+01,5.458357123181543091e-01,6.761830874981586414e-02,3.865459789320299100e-01
3.244375000000000142e+01,1.320500000000000007e+01,4.475565931109068973e-01,8.022677873174967333e-02,4.722166281573433877e-01
3.278750000000000142e+01,1.320500000000000007e+01,3.549431860356280222e-01,9.264432031464654715e-02,5.524124936497254446e-01
3.313125000000000142e+01,1.320500000000000007e+01,2.745812910338714108e-01,1.047170692053335378e-01,6.207016397607950653e-01
3.347500000000000142e+01,1.320500000000000007e+01,2.093869464743642328e-01,1.167924626512032438e-01,6.738205908744325789e-01
3.381875000000000142e+01,1.320500000000000007e+01,1.590218749853004321e-01,1.295993546604710944e-01,7.113787703542284735e-01
3.416250000000000142e+01,1.320500000000000007e+01,1.213021432151989154e-01,1.440784438366787268e-01,7.346194129481224966e-01
