bill_length_mm,flipper_length_mm,Adelie,Gentoo,Chinstrap
3.210000000000000142e+01,1.720000000000000000e+02,8.220458686394862546e-01,1.724479865404510148e-01,5.506144820062643802e-03
3.244375000000000142e+01,1.720000000000000000e+02,8.124112342791384167e-01,1.816098092621249993e-01,5.978956458736592663e-03
3.278750000000000142e+01,1.720000000000000000e+02,8.013019317059340008e-01,1.921480356614023444e-01,6.550032632663795387e-03
3.313125000000000142e+01,1.720000000000000000e+02,7.885283698760978677e-01,2.042290686222774654e-01,7.242561501624725923e-03
3.347500000000000142e+01,1.720000000000000000e+02,7.738953862866867484e-01,2.180188003183075596e-01,8.085813395005567172e-03
3.381875000000000142e+01,1.720000000000000000e+02,7.572110127337842167e-01,2.336721241047162168e-01,9.116863161499576956e-03
3.416250000000000142e+01,1.720000000000000000e+02,7.382985535005984756e-01,2.513185956971714652e-01,1.038285080223015459e-02
3.450625000000000142e+01,1.720000000000000000e+02,7.170117768582583428e-01,2.710442358756041670e-01,1.194398726613745722e-02
3.485000000000000142e+01,1.720000000000000000e+02,6.932522213298129010e-01,2.928701659484445052e-01,1.387761272174243936e-02
3.519375000000000142e+01,1.720000000000000000e+02,6.669866062806057982e-01,3.167296317630924896e-01,1.628376195630173648e-02
3.553750000000000142e+01,1.720000000000000000e+02,6.382613564442053411e-01,3.424457485270897550e-01,1.929289502870501841e-02
3.588125000000000142e+01,1.720000000000000000e+02,6.072107124636525466e-01,3.697125800707769527e-01,2.307670746557044517e-02
3.622500000000000142e+01,1.720000000000000000e+02,5.740552715564448683e-01,3.980815198298768287e-01,2.786320861367826140e-02
3.656875000000000142e+01,1.720000000000000000e+02,5.390893803986608335e-01,4.269531708289410199e-01,3.395744877239818826e-02
3.691250000000000142e+01,1.720000000000000000e+02,5.026584607493809198e-01,4.555723862730761686e-01,4.176915297754282830e-02
3.725625000000000142e+01,1.720000000000000000e+02,4.651304468007421700e-01,4.830219538105329780e-01,5.184759938872485208e-02
3.760000000000000142e+01,1.720000000000000000e+02,4.268681036941113782e-01,5.082104405954647186e-01,6.492145571042394481e-02
3.794375000000000142e+01,1.720000000000000000e+02,3.882102572134295548e-01,5.298542594390350802e-01,8.193548334753539275e-02
3.828750000000000142e+01,1.720000000000000000e+02,3.494695194245438508e-01,5.464652190478804794e-01,1.040652615275757670e-01
3.863125000000000142e+01,1.720000000000000000e+02,3.109518068071276953e-01,5.563732725174728166e-01,1.326749206753996269e-01
3.897500000000000142e+01,1.720000000000000000e+02,2.729981172762722674e-01,5.578353075480646517e-01,1.691665751756631364e-01
3.931875000000000142e+01,1.720000000000000000e+02,2.360398648240540076e-01,5.492884860485518494e-01,2.146716491273940874e-01
3.966250000000000142e+01,1.720000000000000000e+02,2.006445625596976756e-01,5.297698480090481388e-01,2.695855894312542134e-01
4.000625000000000142e+01,1.720000000000000000e+02,1.675145960701821535e-01,4.994157719567653975e-01,3.330696319730523380e-01
4.035000000000000142e+01,1.720000000000000000e+02,1.374056967247861971e-01,4.598090939696913848e-01,4.027852093055224736e-01
4.069375000000000142e+01,1.720000000000000000e+02,1.109705420798439840e-01,4.138943709141968963e-01,4.751350870059591336e-01
4.103750000000000142e+01,1.720000000000000000e+02,8.859142720366866564e-02,3.653701014410120074e-01,5.460384713553194658e-01
4.138125000000000142e+01,1.720000000000000000e+02,7.028991289356778527e-02,3.178058940479379091e-01,6.119041930584941946e-01
