flipper_length_mm,body_mass_g,Torgersen,Biscoe,Dream
1.720000000000000000e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.727375000000000114e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.734750000000000227e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.742125000000000341e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.749500000000000455e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.756875000000000568e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.764250000000000682e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.771625000000000796e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.779000000000000909e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.786375000000001023e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.793750000000001137e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.801125000000001251e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.808500000000001364e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.815875000000001478e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.823250000000001592e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.830625000000001705e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.838000000000001819e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.845375000000001933e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.852750000000002046e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.860125000000002160e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.867500000000002274e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.874875000000002387e+02,2.700000000000000000e+03,1.434000339378526390e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.882250000000002501e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.889625000000002615e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.897000000000002728e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.904375000000002842e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.911750000000002956e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.919125000000003070e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.926500000000003183e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.933875000000003297e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.941250000000003411e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
1.948625000000003524e+02,2.700000000000000000e+03,1.434000339378526945e-01,5.017219873694155341e-01,3.548779786927316882e-01
